neighborhood,avg_bedrooms,avg_bathrooms,avg_rooms,house_age,has_garage,has_pool,median_income,population,avg_occupancy,latitude,longitude,price,region
Nashville Hills,3,1.5,19.933333333333334,1,1,0,2.32,2070,4.9,35.5418,-89.2431,81114,Tennessee
Chicago North,1,2.0,20.0,49,1,0,8.37,4222,3.8,34.8782,-85.4887,292982,Illinois
Seattle Eastside,2,2.0,22.72,34,1,0,13.07,2579,5.5,29.2493,-90.3711,457464,Washington
Atlanta Central,3,2.5,27.8,47,1,0,12.78,3498,2.8,37.9266,-102.3942,447349,Georgia
Austin Heights,3,3.0,22.98,29,1,0,15.0,2830,5.4,32.9568,-92.6122,1916138,Texas
Dallas Park Cities,2,2.0,15.56,1,1,0,6.47,648,2.4,35.3622,-86.506,226494,Texas
Portland Pearl,2,2.5,17.946666666666665,57,1,0,3.97,2620,4.6,31.2398,-102.6483,139048,Oregon
Miami Beach,3,1.5,19.726666666666667,11,1,0,7.24,1275,4.4,39.0036,-93.9803,253284,Florida
Chicago North,4,2.5,33.333333333333336,63,1,0,12.41,890,3.8,44.2754,-120.6558,434487,Illinois
Nashville Hills,4,1.0,31.34,1,1,0,3.61,1675,2.5,25.4728,-115.6745,126472,Tennessee
Boston Back Bay,3,2.5,21.506666666666668,75,1,0,6.19,1817,3.4,30.3111,-82.5084,216529,Massachusetts
Chicago North,2,1.5,13.053333333333333,21,1,0,12.1,3846,5.4,40.579,-104.0997,423453,Illinois
Chicago North,2,1.5,26.213333333333335,72,1,0,8.4,1634,6.2,41.2527,-82.208,293964,Illinois
Denver Park,2,2.5,18.726666666666667,1,1,1,15.0,4087,6.9,31.7683,-87.9143,558119,Colorado
Palo Alto,3,2.0,21.3,37,1,0,15.0,1445,4.8,31.5822,-105.0566,1747991,California
Boston Back Bay,1,2.0,22.26,34,1,1,10.96,4220,4.4,42.1767,-82.6031,383701,Massachusetts
Dallas Park Cities,3,2.0,19.28,14,1,1,3.03,2867,4.7,37.8423,-118.0503,106005,Texas
Beverly Hills,5,4.0,28.293333333333333,39,1,1,15.0,802,6.9,33.9458,-116.1676,972360,California
Nashville Hills,3,2.0,20.766666666666666,18,1,1,3.24,997,4.8,26.2748,-102.4966,113399,Tennessee
Nashville Hills,4,2.0,18.973333333333333,35,1,0,5.4,824,4.1,40.0194,-88.931,188995,Tennessee
Phoenix Valley,2,3.0,19.68,30,1,0,15.0,2346,3.6,31.7377,-108.6229,550799,Arizona
Miami Beach,3,2.5,17.933333333333334,16,1,0,9.89,1847,3.8,38.2731,-107.2227,346025,Florida
Austin Heights,5,2.0,26.953333333333333,64,1,0,15.0,708,4.6,41.6148,-77.6055,1583548,Texas
Portland Pearl,3,2.5,18.24,42,0,0,5.55,3565,2.9,35.6553,-75.5063,194242,Oregon
San Diego Coastal,4,1.5,22.866666666666667,68,1,0,4.48,4338,3.1,30.8253,-74.8105,156819,California
Atlanta Central,6,2.0,29.52,66,1,0,15.0,4289,3.9,29.9255,-123.7911,711780,Georgia
Palo Alto,4,2.0,27.313333333333333,21,1,0,15.0,1178,3.3,41.2132,-81.0875,1258647,California
Austin Downtown,3,3.0,21.166666666666668,24,0,0,5.27,4412,4.9,45.5055,-83.1002,184603,Texas
Chicago North,3,3.0,22.253333333333334,77,1,0,9.31,2415,5.0,47.5394,-110.8019,325735,Illinois
Dallas Park Cities,2,1.5,30.553333333333335,26,0,0,2.29,1433,4.4,43.4752,-112.5353,80000,Texas
San Diego Coastal,2,1.5,17.166666666666668,8,0,0,6.82,1100,4.7,38.8622,-123.0829,238873,California
Portland Pearl,1,2.0,17.22,44,1,1,2.79,3953,4.2,44.8795,-79.7862,97569,Oregon
Portland Pearl,5,2.0,33.333333333333336,78,1,0,2.96,1653,1.0,33.9622,-91.5859,103549,Oregon
Austin Heights,4,2.0,25.66,19,1,1,15.0,3383,2.7,45.2903,-124.1287,1027125,Texas
Atlanta Central,3,2.5,23.46,52,1,0,12.48,2994,5.1,34.8955,-112.6107,436879,Georgia
Seattle Eastside,3,2.0,22.106666666666666,28,0,0,13.67,4670,2.7,38.6928,-79.3075,478276,Washington
Seattle Eastside,4,3.0,27.08,31,1,0,15.0,3721,5.3,28.9082,-91.8833,571474,Washington
Beverly Hills,5,2.0,26.866666666666667,37,1,0,15.0,3977,5.4,36.4356,-77.9319,1828986,California
Boston Back Bay,3,1.5,19.36,12,1,0,10.5,2716,3.6,32.8543,-116.9312,367510,Massachusetts
Austin Heights,3,2.0,22.086666666666666,31,1,0,15.0,2878,3.1,33.4296,-72.6073,1812640,Texas
Portland Pearl,5,2.5,19.48,22,1,0,8.12,1172,4.0,38.7582,-113.5912,284316,Oregon
San Diego Coastal,5,2.0,33.333333333333336,66,1,0,2.96,4024,3.9,45.2833,-108.3065,103578,California
Dallas Park Cities,5,2.0,33.333333333333336,19,0,0,5.66,3884,4.9,43.9968,-74.0654,197926,Texas
Portland Pearl,3,2.0,22.906666666666666,68,1,1,3.38,1887,1.0,33.0262,-107.7901,118324,Oregon
Atlanta Central,2,2.5,21.546666666666667,2,1,0,15.0,1129,2.9,41.8784,-92.2642,861492,Georgia
Austin Downtown,3,3.0,27.76,33,1,0,6.28,4037,2.5,37.5953,-106.0747,219629,Texas
Chicago North,3,2.0,14.933333333333334,22,0,0,13.47,3969,1.0,33.0109,-84.3173,471580,Illinois
Phoenix Valley,5,1.5,33.333333333333336,36,1,0,15.0,4015,3.3,45.8853,-107.8737,1003118,Arizona
Dallas Park Cities,1,2.0,11.72,62,1,1,2.29,634,1.8,28.709,-100.7293,80000,Texas
Atlanta Central,4,2.0,33.333333333333336,77,0,0,15.0,4348,3.4,43.5184,-120.3923,608931,Georgia
Palo Alto,5,4.0,28.993333333333332,59,1,0,15.0,2119,3.3,29.8813,-74.3482,1584604,California
Seattle Eastside,6,2.0,33.333333333333336,41,1,0,14.18,1590,4.7,45.5264,-75.1683,496259,Washington
Portland Pearl,4,2.5,25.046666666666667,41,1,0,10.96,2868,3.6,41.5908,-80.7691,383735,Oregon
Austin Heights,5,3.0,33.333333333333336,80,1,0,15.0,4320,1.5,35.6937,-76.9798,1090285,Texas
Chicago North,2,2.5,15.266666666666667,80,0,0,8.96,4167,4.5,26.7784,-91.8493,313774,Illinois
Palo Alto,3,2.0,28.213333333333335,62,1,1,15.0,1260,7.6,29.1438,-120.2995,834351,California
San Diego Coastal,1,2.5,17.34,14,1,0,6.64,4893,5.6,28.7941,-121.1175,232558,California
Seattle Eastside,6,2.0,33.333333333333336,22,1,0,13.8,3973,5.0,42.5158,-81.7656,483106,Washington
Phoenix Valley,5,2.0,31.22,22,1,0,15.0,4698,3.7,39.3063,-96.5604,949951,Arizona
Denver Park,1,4.0,10.44,19,1,0,15.0,4684,3.3,30.0052,-109.7648,594231,Colorado
Boston Back Bay,1,2.0,4.0,78,1,0,4.31,2864,3.2,33.4565,-122.9393,150794,Massachusetts
San Diego Coastal,3,2.0,27.726666666666667,13,1,1,8.74,661,4.4,32.1146,-70.8776,305904,California
Austin Downtown,3,1.5,19.386666666666667,69,0,0,3.39,825,2.3,40.0073,-119.6817,118478,Texas
Chicago North,4,1.5,32.233333333333334,65,0,0,8.3,3317,4.3,32.5989,-104.9654,290458,Illinois
Austin Heights,2,2.5,19.873333333333335,43,1,1,15.0,909,3.0,42.6779,-87.589,837248,Texas
Nashville Hills,4,3.0,32.4,25,1,1,3.56,3468,1.4,40.9842,-90.7296,124716,Tennessee
Miami Beach,4,2.5,30.273333333333333,22,1,0,11.9,964,3.0,30.5799,-118.0492,416564,Florida
San Diego Coastal,3,2.0,8.853333333333333,55,1,1,9.59,4168,5.9,32.448,-90.8751,335492,California
Palo Alto,2,1.0,21.273333333333333,54,1,0,15.0,1702,4.2,37.6376,-106.4979,1595316,California
Phoenix Valley,6,2.0,32.166666666666664,44,1,1,15.0,962,1.0,45.8808,-115.6167,869553,Arizona
Portland Pearl,4,2.0,32.21333333333333,46,1,0,5.37,2030,3.0,27.5641,-91.0611,188114,Oregon
Nashville Hills,3,3.0,25.14666666666667,67,0,0,2.55,4592,5.4,33.2476,-75.4754,89261,Tennessee
Chicago North,3,2.5,25.213333333333335,61,0,1,8.06,2983,3.6,38.7811,-83.6662,282180,Illinois
Nashville Hills,5,3.0,28.546666666666667,61,1,0,4.86,4972,4.8,32.4646,-116.0642,170263,Tennessee
Nashville Hills,4,3.0,21.126666666666665,23,1,1,2.85,1662,3.4,31.6597,-115.4235,99673,Tennessee
Atlanta Central,4,2.0,23.686666666666667,6,1,0,15.0,3524,4.3,34.9348,-99.1867,999295,Georgia
Dallas Park Cities,4,2.5,16.4,37,1,0,3.98,1340,4.1,29.4301,-123.8378,139440,Texas
Phoenix Valley,5,2.5,26.846666666666668,28,0,0,15.0,2434,3.0,38.8791,-123.859,698850,Arizona
Denver Park,3,4.0,14.186666666666667,27,1,0,15.0,2194,4.9,45.2013,-111.1448,596993,Colorado
San Diego Coastal,4,2.0,18.326666666666668,42,1,0,8.75,3357,6.3,45.9474,-119.1314,306125,California
Miami Beach,3,2.5,22.62,75,1,0,3.9,3529,4.6,35.8425,-94.9305,136663,Florida
Austin Heights,4,2.0,28.846666666666668,65,1,0,15.0,746,4.2,31.7492,-122.6108,1198894,Texas
Nashville Hills,6,2.5,33.333333333333336,55,0,0,2.66,3629,2.7,33.7951,-111.6059,93274,Tennessee
Austin Heights,6,3.0,31.333333333333332,58,1,0,15.0,3888,5.4,30.2522,-121.7988,2045869,Texas
Nashville Hills,3,3.0,16.946666666666665,34,1,0,5.02,2217,3.2,38.7666,-95.8246,175788,Tennessee
Beverly Hills,4,1.5,24.30666666666667,44,1,0,15.0,814,4.8,28.0985,-105.6061,1987974,California
Portland Pearl,5,2.0,25.613333333333333,35,0,1,7.8,2400,5.1,32.318,-120.4334,272938,Oregon
Portland Pearl,6,3.0,33.333333333333336,65,0,0,8.46,1951,5.5,28.9236,-105.5099,295981,Oregon
Portland Pearl,4,2.5,17.88,80,1,0,6.24,4065,5.5,29.7212,-124.9643,218472,Oregon
Miami Beach,2,3.0,21.74,35,1,0,5.17,1127,5.5,40.4435,-79.6,180804,Florida
Seattle Eastside,3,2.0,18.973333333333333,58,1,0,13.67,1835,2.1,47.833,-104.995,478615,Washington
San Diego Coastal,5,3.0,32.00666666666667,5,1,0,7.0,3767,2.7,40.5346,-88.3757,245161,California
Phoenix Valley,4,2.5,30.726666666666667,33,1,0,15.0,4732,1.9,30.6145,-86.018,767021,Arizona
Portland Pearl,4,1.5,27.746666666666666,70,1,1,8.49,3174,1.8,34.3761,-94.4796,297187,Oregon
Boston Back Bay,4,1.5,30.26,55,1,1,14.59,510,6.3,39.4427,-92.6136,510486,Massachusetts
Chicago North,3,2.5,10.973333333333333,43,1,0,11.99,3646,2.5,44.95,-101.4259,419630,Illinois
Seattle Eastside,3,1.5,19.366666666666667,18,1,0,14.06,640,2.3,41.4278,-102.5904,492099,Washington
Boston Back Bay,4,3.0,31.88,65,1,0,9.78,790,3.9,28.3436,-108.1727,342359,Massachusetts
Beverly Hills,3,2.5,24.713333333333335,78,1,0,15.0,3504,2.9,38.8902,-121.0819,1305480,California
Austin Heights,4,2.0,33.333333333333336,32,1,0,15.0,2166,7.4,29.5351,-105.7794,1192927,Texas
Denver Park,4,2.0,33.333333333333336,65,1,0,15.0,621,3.6,33.6095,-99.5616,691111,Colorado
Palo Alto,4,4.0,27.593333333333334,48,0,0,15.0,2327,4.7,47.1909,-117.6447,1836113,California
Chicago North,3,2.5,20.653333333333332,32,1,1,11.11,2207,2.8,45.5179,-75.0576,388997,Illinois
San Diego Coastal,4,3.0,20.886666666666667,27,1,0,5.92,3210,1.5,30.9058,-124.5392,207144,California
Miami Beach,2,3.0,15.46,41,1,0,6.23,4747,2.9,41.7565,-112.6919,218121,Florida
Seattle Eastside,2,2.5,15.82,33,1,0,12.5,960,2.9,32.5789,-87.6105,437349,Washington
Nashville Hills,3,3.0,18.833333333333332,50,1,1,6.33,3495,2.9,25.1807,-79.7092,221387,Tennessee
Boston Back Bay,2,2.5,13.1,12,1,0,10.51,3412,1.6,44.5527,-98.944,367828,Massachusetts
Palo Alto,5,2.0,32.14,39,1,1,15.0,4895,4.2,43.9173,-92.6265,2081599,California
Portland Pearl,5,2.0,33.333333333333336,60,0,1,8.27,2276,3.5,31.7657,-109.9849,289610,Oregon
Boston Back Bay,1,2.0,18.973333333333333,68,1,0,9.29,1228,1.7,42.7581,-72.5116,325017,Massachusetts
Miami Beach,4,2.5,24.28,23,1,0,5.39,4576,4.2,25.7242,-89.571,188536,Florida
Boston Back Bay,3,2.0,27.406666666666666,49,1,0,11.12,725,5.1,37.415,-117.7694,389123,Massachusetts
Boston Back Bay,4,2.5,27.846666666666668,25,1,0,9.77,2524,5.8,47.5764,-84.4964,342060,Massachusetts
Palo Alto,5,4.0,29.78,64,1,0,15.0,3441,1.0,43.135,-117.9725,1265932,California
Boston Back Bay,4,2.0,25.446666666666665,29,1,1,11.18,959,2.9,38.2379,-102.8152,391413,Massachusetts
Portland Pearl,2,1.5,16.933333333333334,54,1,1,4.69,1835,1.9,33.4139,-97.9831,164076,Oregon
Phoenix Valley,1,2.5,17.466666666666665,35,1,0,10.47,965,3.0,41.9129,-85.2673,366486,Arizona
Miami Beach,3,1.0,22.74,22,1,0,11.17,4305,6.1,47.4344,-70.202,390984,Florida
Beverly Hills,5,3.0,26.113333333333333,47,1,0,15.0,1644,2.9,29.4188,-104.5682,1166478,California
Atlanta Central,4,2.0,21.85333333333333,50,0,0,15.0,3215,3.3,26.1393,-87.8345,573239,Georgia
Chicago North,3,2.0,23.626666666666665,55,1,0,11.73,1579,2.8,33.6771,-88.0183,410421,Illinois
Austin Downtown,1,2.5,16.28,64,1,1,2.29,3622,6.4,36.8881,-114.8696,80000,Texas
Denver Park,5,2.0,28.326666666666668,55,1,0,15.0,4085,1.0,30.64,-89.6433,741292,Colorado
Phoenix Valley,3,2.0,15.96,69,1,0,13.33,680,3.2,39.1809,-76.632,466438,Arizona
Chicago North,4,2.0,32.666666666666664,34,1,0,15.0,3750,2.7,32.035,-94.4346,544942,Illinois
Austin Downtown,4,2.0,31.533333333333335,41,1,0,4.45,3473,1.4,47.5841,-98.6123,155661,Texas
Nashville Hills,3,3.0,11.4,39,1,1,3.72,845,5.7,31.103,-89.3848,130361,Tennessee
Beverly Hills,2,1.5,25.14,47,0,1,15.0,1689,1.3,43.4685,-80.6233,769297,California
Denver Park,3,2.0,20.88,12,0,0,15.0,4331,3.3,47.1866,-112.6098,616182,Colorado
Nashville Hills,3,1.5,23.006666666666668,69,1,0,4.06,2495,3.9,36.4895,-116.0293,142229,Tennessee
Beverly Hills,4,2.0,32.06666666666667,42,1,1,15.0,932,2.9,29.5828,-89.182,2238581,California
Nashville Hills,4,1.5,33.333333333333336,45,0,0,5.22,3388,1.4,45.4787,-123.0979,182595,Tennessee
Phoenix Valley,3,3.0,27.346666666666668,71,0,0,14.66,4035,3.7,34.2538,-79.61,513019,Arizona
Dallas Park Cities,3,1.5,23.28,38,1,1,3.74,2449,2.9,37.5149,-108.3859,131057,Texas
Phoenix Valley,1,2.5,6.66,37,1,0,15.0,1002,5.2,26.1279,-118.8961,603983,Arizona
Chicago North,3,2.0,11.193333333333333,46,1,0,9.14,1086,4.8,33.0064,-82.943,320053,Illinois
Miami Beach,4,2.0,30.68,76,1,0,4.31,2193,6.9,37.787,-112.7409,150748,Florida
Palo Alto,4,1.5,33.153333333333336,21,1,0,15.0,2679,4.2,40.9387,-102.9215,1238053,California
Boston Back Bay,4,2.5,21.653333333333332,13,1,1,14.7,3879,4.9,46.8764,-102.2373,514486,Massachusetts
Seattle Eastside,2,3.0,16.56,9,1,0,12.21,3565,3.5,38.4204,-79.8873,427437,Washington
Portland Pearl,4,2.0,23.026666666666667,59,1,0,8.08,1641,6.6,31.2422,-110.4567,282807,Oregon
Austin Downtown,3,4.0,18.88,1,1,0,5.63,3604,4.0,37.8149,-90.1741,197054,Texas
Miami Beach,6,2.0,33.333333333333336,57,1,1,9.24,1009,3.8,26.6312,-70.0746,323415,Florida
Chicago North,4,2.5,27.16,71,1,0,6.49,1328,4.8,28.4062,-92.0355,227126,Illinois
Chicago North,5,2.5,28.773333333333333,55,1,0,12.15,4042,3.0,33.0923,-117.2464,425225,Illinois
Chicago North,2,1.5,32.17333333333333,14,1,0,13.84,4554,3.3,25.5119,-109.4205,484367,Illinois
Nashville Hills,3,2.0,14.346666666666666,54,1,0,2.44,3609,4.8,26.7325,-95.5683,85515,Tennessee
Phoenix Valley,4,1.0,28.92,36,1,0,15.0,2553,5.1,25.1689,-107.2735,570424,Arizona
Austin Heights,3,2.5,16.4,2,1,0,15.0,4510,4.9,29.1812,-96.5894,1560835,Texas
Atlanta Central,4,2.0,25.16,16,1,0,15.0,2090,3.9,43.9874,-95.1228,767694,Georgia
Beverly Hills,3,3.0,22.786666666666665,60,1,0,15.0,3386,4.4,33.0823,-84.5458,1579818,California
Palo Alto,6,2.0,33.333333333333336,45,1,0,15.0,3585,5.4,45.7564,-90.7379,2146241,California
Palo Alto,2,3.0,16.606666666666666,40,1,0,15.0,832,2.4,45.3536,-86.6131,1468924,California
Portland Pearl,5,1.5,28.04,63,1,1,4.85,4815,4.0,44.8595,-112.9931,169713,Oregon
San Diego Coastal,3,2.5,20.506666666666668,42,0,0,6.69,3373,1.0,29.873,-101.7234,234151,California
San Diego Coastal,3,2.0,16.24,78,1,0,8.12,1583,5.1,32.875,-79.6179,284305,California
Chicago North,3,1.5,25.366666666666667,5,1,0,15.0,4201,2.8,35.7716,-83.6278,675642,Illinois
San Diego Coastal,3,1.5,23.5,23,1,0,8.7,2214,2.9,34.9266,-114.9879,304364,California
Austin Heights,5,2.5,32.32,16,1,0,15.0,876,3.8,26.8377,-121.4819,1288425,Texas
Dallas Park Cities,5,2.0,29.626666666666665,34,0,0,4.05,3540,4.9,30.4944,-89.0758,141752,Texas
Seattle Eastside,6,2.5,32.96666666666667,73,1,0,7.47,1110,7.6,39.265,-100.5757,261361,Washington
Austin Downtown,6,4.0,33.333333333333336,33,1,0,6.13,3186,1.7,40.5604,-102.4239,214602,Texas
Austin Heights,4,2.0,31.446666666666665,26,1,0,15.0,3549,2.7,33.3871,-123.624,1046558,Texas
Seattle Eastside,3,1.0,29.54,7,1,0,15.0,1206,4.3,31.8309,-104.009,566800,Washington
San Diego Coastal,5,1.5,31.986666666666668,32,1,0,3.22,4060,2.9,38.4795,-115.1714,112676,California
Seattle Eastside,1,1.5,21.213333333333335,19,1,1,13.57,2557,5.3,40.2597,-123.1106,474877,Washington
Chicago North,4,2.0,23.78,16,1,0,15.0,2089,3.7,41.3526,-103.0607,617985,Illinois
Austin Heights,3,2.5,20.926666666666666,11,1,0,15.0,957,5.3,43.6521,-79.6351,1018246,Texas
Atlanta Central,4,2.0,32.373333333333335,51,0,0,12.72,3808,3.6,38.4291,-75.9746,445292,Georgia
Denver Park,3,1.5,26.493333333333332,57,0,1,15.0,1239,4.8,33.7141,-111.8999,590446,Colorado
Phoenix Valley,3,2.5,20.446666666666665,60,1,0,15.0,1253,2.6,33.0015,-109.8765,686413,Arizona
San Diego Coastal,1,2.0,8.413333333333334,5,1,1,7.11,1695,6.9,25.7898,-119.5787,248775,California
Miami Beach,3,2.5,20.906666666666666,74,1,0,4.02,2498,1.5,34.5763,-74.9886,140797,Florida
Miami Beach,3,3.0,18.346666666666668,41,1,0,6.63,4455,2.9,44.982,-121.4132,231971,Florida
Atlanta Central,3,2.0,31.19333333333333,45,0,0,15.0,3865,1.9,39.4362,-73.4498,685576,Georgia
Austin Downtown,3,2.0,26.053333333333335,71,0,0,2.66,3820,5.2,38.6405,-89.7204,93059,Texas
Palo Alto,4,3.0,21.913333333333334,23,1,0,15.0,1395,4.8,30.1477,-81.7426,1174577,California
Atlanta Central,3,2.5,16.426666666666666,41,1,1,15.0,3416,2.2,38.7098,-112.9008,590818,Georgia
Palo Alto,4,3.0,21.846666666666668,6,1,1,15.0,2070,5.5,29.1495,-91.5866,1695147,California
Atlanta Central,2,3.0,15.013333333333334,40,1,0,14.73,2632,3.0,32.8435,-119.0162,515443,Georgia
Austin Downtown,4,2.0,25.106666666666666,22,1,0,5.98,3330,4.6,38.4433,-88.7734,209355,Texas
Atlanta Central,2,2.0,23.94,15,1,0,15.0,1249,4.9,26.0438,-91.9802,647035,Georgia
Dallas Park Cities,3,2.5,16.84,50,1,1,5.43,2056,3.6,32.1625,-79.6859,190002,Texas
Seattle Eastside,4,2.5,33.333333333333336,11,1,0,15.0,2278,5.4,27.0361,-89.5298,554012,Washington
San Diego Coastal,4,2.5,20.966666666666665,78,0,0,6.19,4433,3.8,28.7709,-71.566,216504,California
Chicago North,3,2.0,14.48,19,1,0,12.49,4852,4.5,33.0994,-98.0317,437188,Illinois
Denver Park,3,3.0,31.0,7,1,1,15.0,4805,3.6,40.9349,-94.645,729968,Colorado
Portland Pearl,2,2.0,25.046666666666667,36,0,0,3.6,2874,1.2,31.1508,-120.8281,125848,Oregon
Austin Downtown,3,1.5,21.026666666666667,32,1,0,3.48,3390,3.8,25.4619,-119.0464,121692,Texas
Denver Park,3,2.0,24.033333333333335,53,1,1,15.0,3722,2.7,34.1782,-115.4574,626949,Colorado
Portland Pearl,4,2.0,28.166666666666668,54,0,0,7.64,4020,6.1,30.0834,-118.4883,267287,Oregon
Denver Park,3,2.5,22.726666666666667,48,1,0,15.0,3544,2.0,42.9005,-117.4481,741168,Colorado
San Diego Coastal,4,2.0,19.08,46,1,1,7.72,4580,5.8,43.9052,-110.6741,270293,California
Portland Pearl,3,2.5,8.76,63,1,0,3.74,2223,3.7,40.4323,-109.6854,130847,Oregon
Chicago North,3,2.0,17.493333333333332,53,0,0,10.6,3658,4.6,39.0988,-86.7438,370829,Illinois
Portland Pearl,3,1.5,31.68,12,1,0,7.02,3248,1.9,41.8044,-98.2462,245801,Oregon
Phoenix Valley,1,2.0,23.893333333333334,38,1,0,15.0,3979,3.5,33.6478,-74.0123,573443,Arizona
Palo Alto,3,2.0,20.6,56,1,0,15.0,4682,3.0,39.9764,-106.1385,1154472,California
Palo Alto,4,2.5,20.886666666666667,22,1,0,15.0,860,7.2,34.6537,-121.5123,2038839,California
Chicago North,4,2.0,27.48,70,0,0,11.03,4337,3.0,34.8861,-78.5696,385893,Illinois
Dallas Park Cities,3,2.0,24.34,39,1,1,5.28,4206,5.7,43.1408,-78.653,184916,Texas
Palo Alto,2,2.0,21.2,26,1,0,15.0,4415,5.8,43.1948,-105.0191,1507085,California
Chicago North,5,1.5,16.52,31,1,0,11.38,1735,5.7,34.2103,-121.1276,398400,Illinois
San Diego Coastal,2,1.0,33.333333333333336,50,1,0,4.86,3105,3.1,46.5545,-76.5519,170134,California
Denver Park,3,4.0,28.033333333333335,57,1,1,15.0,818,6.7,37.4554,-73.6554,571217,Colorado
San Diego Coastal,5,1.5,28.94,21,1,0,6.78,773,7.0,36.205,-70.1558,237190,California
Phoenix Valley,3,1.5,18.166666666666668,14,1,1,15.0,3152,4.6,36.5356,-103.4923,927640,Arizona
Nashville Hills,2,3.0,23.26,8,0,1,2.29,4869,3.3,42.9254,-118.0078,80000,Tennessee
Boston Back Bay,3,2.5,24.64,40,1,1,8.64,1520,2.7,47.2535,-104.2216,302533,Massachusetts
Boston Back Bay,4,2.0,26.486666666666668,75,1,1,13.02,4056,4.7,40.8713,-92.7938,455849,Massachusetts
Austin Heights,2,2.5,20.44,77,1,0,15.0,859,4.1,32.8497,-122.6202,1109095,Texas
Chicago North,4,3.0,25.393333333333334,45,1,1,15.0,790,4.3,36.8864,-109.9182,527609,Illinois
Nashville Hills,3,1.5,24.14,43,1,0,2.77,3243,2.0,32.0657,-73.193,96796,Tennessee
Beverly Hills,3,2.0,25.873333333333335,41,0,0,15.0,1755,4.0,40.0346,-122.5698,1288867,California
Portland Pearl,3,3.0,23.826666666666668,19,1,0,4.05,943,5.7,47.982,-116.6978,141774,Oregon
Seattle Eastside,4,3.0,27.546666666666667,34,1,1,12.51,4617,5.2,44.8936,-93.0437,437992,Washington
San Diego Coastal,3,4.0,29.426666666666666,75,0,0,5.09,4492,3.4,35.8731,-72.3246,178207,California
Miami Beach,4,2.0,17.48,50,1,1,5.94,564,3.8,32.8702,-73.2825,207795,Florida
Chicago North,3,3.0,17.74,20,1,1,15.0,4861,1.8,35.4129,-110.8364,653034,Illinois
Phoenix Valley,2,2.0,18.14,8,1,0,15.0,582,3.0,32.2735,-91.2432,578281,Arizona
Miami Beach,3,2.5,18.106666666666666,61,1,0,7.56,3821,3.5,47.8076,-71.9244,264769,Florida
Austin Heights,3,3.0,19.886666666666667,73,1,0,15.0,4027,5.0,29.6439,-90.3676,1330174,Texas
Boston Back Bay,3,1.5,28.866666666666667,9,0,0,15.0,1794,2.9,43.6245,-112.8138,611237,Massachusetts
Palo Alto,4,2.0,25.2,31,1,0,15.0,1111,2.4,34.53,-86.8496,1594858,California
Miami Beach,5,2.5,20.24,69,1,0,8.45,3031,5.1,39.9887,-96.882,295854,Florida
Miami Beach,4,3.0,23.74,21,1,0,8.24,4486,3.4,46.2251,-97.8422,288423,Florida
Palo Alto,4,1.0,26.30666666666667,15,1,0,15.0,641,2.7,38.618,-98.1393,1917822,California
Portland Pearl,3,3.0,22.206666666666667,32,1,0,4.28,4330,5.2,39.1871,-118.811,149842,Oregon
Chicago North,4,2.0,28.96,32,1,0,14.3,3296,4.7,25.8282,-81.5811,500476,Illinois
Portland Pearl,3,2.0,24.526666666666667,39,1,0,9.87,4940,3.7,27.963,-105.9174,345591,Oregon
